Month,Year,Categories,Amount,Page number,Type of Category
May,1857,Injured persons provided for,8,86,Public Service
May,1857,Dangerous buildings reported/secured,4,86,Public Service
May,1857,Number of fires on the station,2,86,Public Service
May,1857,Fires alarms given by officers,1,86,Public Service
May,1857,Fires extinguished by officers without alarms,0,86,Public Service
May,1857,Disturbances Suppressed,117,86,Public Service
May,1857,On warrants,26,86,Offences
May,1857,Years imprisonment imposed on convicts,53.5,86,Station and Court-related
May,1857,Amt fines imposed on Prisoners (in $),668,86,Station and Court-related
May,1857,Assaults and Battery,20,86,Offences
May,1857,Assaults on Officers,1,86,Offences
May,1857,Attempt to kill,1,86,Offences
May,1857,Breaking and Entering,3,86,Offences
May,1857,City Ordinance Violations,8,86,Offences
May,1857,Common Drunkenness (drunkards),28,86,Offences
May,1857,Counterfeit money passing,3,86,Offences
May,1857,Drunkenness (Simple),160,86,Offences
May,1857,Embezzlement,1,86,Offences
May,1857,Escaped Convicts,1,86,Offences
May,1857,Keeping Houses of Ill Fame,3,86,Offences
May,1857,Noisy and disorderly persons,3,86,Offences
May,1857,Insane,2,86,Offences
May,1857,Larceny from persons etc,16,86,Offences
May,1857,Larceny (simple),21,86,Offences
May,1857,Malicious mischief,2,86,Offences
May,1857,Keeping Noisy & Disorderly Houses,2,86,Offences
May,1857,Common Night Walkers,48,86,Offences
May,1857,Noisy and disorderly persons,134,86,Offences
May,1857,Keeping a Nuisance,5,86,Offences
May,1857,Poisoning animals,2,86,Offences
May,1857,Possessing sling shot,1,86,Offences
May,1857,Sunday Law Violations,5,86,Offences
May,1857,Stubborn & Truant Children,1,86,Offences
May,1857,Vagabonds,3,86,Offences
May,1857,Witnesses detained,7,86,Offences
May,1857,No. of larcenies on station,21,86,Offences
May,1857,No. of arrests for larcenies on station,22,86,Offences
May,1857,Amt property stolen on station (in $),223.3,86,Station and Court-related
May,1857,Stolen Property Recovered (in $),406.83,86,Station and Court-related
May,1857,Amt property restored to prisoners (in $),296.28,86,Station and Court-related
May,1857,Days time spent in court,211.5,86,Station and Court-related
May,1857,Amt Witness fees has earned in court (in $),375.73,86,Station and Court-related
June,1857,Lodging (Males),57,87,Demographics
June,1857,Lodging (Females),41,87,Demographics
June,1857,Lodging (Americans),15,87,Demographics
June,1857,Lodging (Foreigners),83,87,Demographics
June,1857,Lodging (Residents),46,87,Demographics
June,1857,Lodging (Non-residents),52,87,Demographics
June,1857,Lodging (Minor),20,87,Demographics
June,1857,Arrests (Males),334,87,Demographics
June,1857,Arrests (Females),144,87,Demographics
June,1857,Arrests (Americans),81,87,Demographics
June,1857,Arrests (Foreigners),397,87,Demographics
June,1857,Arrests (Residents),387,87,Demographics
June,1857,Arrests (Non-residents),91,87,Demographics
June,1857,Arrests (Minor),88,87,Demographics
June,1857,Arrests (Commitments),297,87,Demographics
June,1857,Sidewalks repaired,5,87,Public Service
June,1857,Street Obstructions Removed,6,87,Public Service
June,1857,Dangerous buildings reported/secured,9,87,Public Service
June,1857,Water Pipes burst secured,1,87,Public Service
June,1857,"Drains,vaults,nuisances reported",4,87,Public Service
June,1857,Number of fires on the station,5,87,Public Service
June,1857,Fires extinguished by officers without alarms,2,87,Public Service
June,1857,Fires alarms given by officers,3,87,Public Service
June,1857,Stray Teams Put up,5,87,Public Service
June,1857,Lost children returned,10,87,Public Service
June,1857,Injured persons provided for,6,87,Public Service
June,1857,Disturbances Suppressed,144,87,Public Service
June,1857,Stores found open and secured ,18,87,Public Service
June,1857,Breaking and Entering,2,87,Offences
June,1857,Assaults and Battery,32,87,Offences
June,1857,Attempt to rob,1,87,Offences
June,1857,Breaking and Entering,3,87,Offences
June,1857,Common Drunkenness (drunkards),34,87,Offences
June,1857,City Ordinance Violations,5,87,Offences
June,1857,Drunkenness (Simple),144,87,Offences
June,1857,Keeping Houses of Ill Fame,4,87,Offences
June,1857,Indecent exposure,1,87,Offences
June,1857,Idle & disorderly persons,5,87,Offences
June,1857,Idle & dissolute persons,3,87,Offences
June,1857,Larceny (simple),24,87,Offences
June,1857,Larceny from persons etc,12,87,Offences
June,1857,Common Night Walkers,31,87,Offences
June,1857,Noisy and disorderly persons,135,87,Offences
June,1857,Possessing burglar tools,1,87,Offences
June,1857,Receiving stolen goods,1,87,Offences
June,1857,Robbery,7,87,Offences
June,1857,Sunday Law Violations,10,87,Offences
June,1857,Stubborn & Truant Children,2,87,Offences
June,1857,Vagabonds,1,87,Offences
June,1857,Witnesses detained,12,87,Offences
June,1857,No. of larcenies on station,28,87,Offences
June,1857,No. of arrests for larcenies on station,25,87,Offences
June,1857,Amt property stolen on station (in $),378.27,87,Station and Court-related
June,1857,Stolen Property Recovered (in $),204.4,87,Station and Court-related
June,1857,Amt property restored to prisoners (in $),494.14,87,Station and Court-related
June,1857,Days time spent in court,139,87,Station and Court-related
June,1857,Amt Witness fees has earned in court (in $),235.64,87,Station and Court-related
June,1857,Years imprisonment imposed on convicts,"60,2/3",87,Station and Court-related
June,1857,Amt fines imposed on Prisoners (in $),701,87,Station and Court-related
June,1857,On warrants,22,87,Offences
July,1857,Lodging (Males),59,88,Demographics
July,1857,Lodging (Females),36,88,Demographics
July,1857,Lodging (Americans),25,88,Demographics
July,1857,Lodging (Foreigners),70,88,Demographics
July,1857,Lodging (Residents),46,88,Demographics
July,1857,Lodging (Non-residents),49,88,Demographics
July,1857,Lodging (Minor),21,88,Demographics
July,1857,Arrests (Males),331,88,Demographics
July,1857,Arrests (Females),193,88,Demographics
July,1857,Arrests (Americans),66,88,Demographics
July,1857,Arrests (Foreigners),458,88,Demographics
July,1857,Arrests (Residents),422,88,Demographics
July,1857,Arrests (Non-residents),102,88,Demographics
July,1857,Arrests (Minor),94,88,Demographics
July,1857,Arrests (Commitments),326,88,Demographics
July,1857,Sidewalks repaired,21,88,Public Service
July,1857,"Drains,vaults,nuisances reported",2,88,Public Service
July,1857,Stores found open and secured ,20,88,Public Service
July,1857,Stray Teams Put up,4,88,Public Service
July,1857,Lost children returned,7,88,Public Service
July,1857,Injured persons provided for,10,88,Public Service
July,1857,Dangerous buildings reported/secured,3,88,Public Service
July,1857,Disturbances Suppressed,212,88,Public Service
July,1857,Number of fires on the station,6,88,Public Service
July,1857,Fires alarms given by officers,4,88,Public Service
July,1857,On warrants,15,88,Offences
July,1857,Assaults and Battery,18,88,Offences
July,1857,Assault with deadly weapons,2,88,Offences
July,1857,Assaults on Officers,5,88,Offences
July,1857,Breaking and Entering,3,88,Offences
July,1857,City Ordinance Violations,10,88,Offences
July,1857,Common Drunkenness (drunkards),51,88,Offences
July,1857,Counterfeit money passing,2,88,Offences
July,1857,Incendiaryism (incendiary),148,88,Offences
July,1857,Insane,4,88,Offences
July,1857,Idle & disorderly persons,9,88,Offences
July,1857,Larceny (simple),29,88,Offences
July,1857,Larceny from persons etc,9,88,Offences
July,1857,Malicious mischief,1,88,Offences
July,1857,Keeping Noisy & Disorderly Houses,2,88,Offences
July,1857,Common Night Walkers,35,88,Offences
July,1857,Noisy and disorderly persons,163,88,Offences
July,1857,Pickpockets,1,88,Offences
July,1857,Robbery,6,88,Offences
July,1857,Receiving stolen goods,1,88,Offences
July,1857,Sunday Law Violations,4,88,Offences
July,1857,Stubborn & Truant Children,2,88,Offences
July,1857,Vagabonds,4,88,Offences
July,1857,Witnesses detained,12,88,Offences
July,1857,Drugging,1,88,Offences
July,1857,No. of larcenies on station,14,88,Offences
July,1857,No. of arrests for larcenies on station,17,88,Offences
July,1857,Amt property stolen on station (in $),281.5,88,Station and Court-related
July,1857,Stolen Property Recovered (in $),217.5,88,Station and Court-related
July,1857,Amt property restored to prisoners (in $),600.75,88,Station and Court-related
July,1857,Amt fines imposed on Prisoners (in $),516,88,Station and Court-related
July,1857,Years imprisonment imposed on convicts,"60,3/4",88,Station and Court-related
July,1857,Days time spent in court,186,88,Station and Court-related
July,1857,Amt Witness fees has earned in court (in $),286.99,88,Station and Court-related
August,1857,Lodging (Males),61,89,Demographics
August,1857,Lodging (Females),42,89,Demographics
August,1857,Lodging (Americans),17,89,Demographics
August,1857,Lodging (Foreigners),86,89,Demographics
August,1857,Lodging (Residents),58,89,Demographics
August,1857,Lodging (Non-residents),45,89,Demographics
August,1857,Lodging (Minor),25,89,Demographics
August,1857,Arrests (Males),349,89,Demographics
August,1857,Arrests (Females),190,89,Demographics
August,1857,Arrests (Americans),67,89,Demographics
August,1857,Arrests (Foreigners),472,89,Demographics
August,1857,Arrests (Residents),458,89,Demographics
August,1857,Arrests (Non-residents),81,89,Demographics
August,1857,Arrests (Minor),97,89,Demographics
August,1857,Arrests (Commitments),352,89,Demographics
August,1857,Sidewalks repaired,14,89,Public Service
August,1857,"Drains,vaults,nuisances reported",8,89,Public Service
August,1857,Stores found open and secured ,13,89,Public Service
August,1857,Stray Teams Put up,2,89,Public Service
August,1857,Lost children returned,13,89,Public Service
August,1857,Injured persons provided for,8,89,Public Service
August,1857,Dangerous buildings reported/secured,7,89,Public Service
August,1857,Disturbances Suppressed,102,89,Public Service
August,1857,Number of fires on the station,10,89,Public Service
August,1857,Fires alarms given by officers,4,89,Public Service
August,1857,Fires extinguished by officers without alarms,5,89,Public Service
August,1857,Persons Rescued from Drowning,1,89,Public Service
August,1857,Amt fines imposed on Prisoners (in $),644,89,Station and Court-related
August,1857,Years imprisonment imposed on convicts,"46,2/3",89,Station and Court-related
August,1857,Amt Witness fees has earned in court (in $),253.06,89,Station and Court-related
August,1857,Days time spent in court,147,89,Station and Court-related
August,1857,Assaults and Battery,40,89,Offences
August,1857,Attempt to kill,1,89,Offences
August,1857,Assault with deadly weapons,1,89,Offences
August,1857,Attempt to procure abortion,1,89,Offences
August,1857,Attempt to rescue prisoners,1,89,Offences
August,1857,Breaking and Entering,4,89,Offences
August,1857,City Ordinance Violations,1,89,Offences
August,1857,Common Drunkenness (drunkards),37,89,Offences
August,1857,Drunkenness (Simple),150,89,Offences
August,1857,Escaped Convicts,1,89,Offences
August,1857,Insane,2,89,Offences
August,1857,Idle & disorderly persons,6,89,Offences
August,1857,Larceny (simple),34,89,Offences
August,1857,Larceny from persons etc,14,89,Offences
August,1857,Malicious mischief,1,89,Offences
August,1857,Common Night Walkers,33,89,Offences
August,1857,Keeping Noisy & Disorderly Houses,3,89,Offences
August,1857,Keeping Houses of Ill Fame,2,89,Offences
August,1857,Noisy and disorderly persons,154,89,Offences
August,1857,Counterfeit money passing,6,89,Offences
August,1857,Pickpockets,2,89,Offences
August,1857,Robbery,17,89,Offences
August,1857,Highway robbery,5,89,Offences
August,1857,Stubborn & Truant Children,1,89,Offences
August,1857,Sunday Law Violations,4,89,Offences
August,1857,Threatening violence,1,89,Offences
August,1857,Vagabonds,4,89,Offences
August,1857,Witnesses detained,13,89,Offences
August,1857,Rescuing prisoners,1,89,Offences
August,1857,Forgery ,1,89,Offences
August,1857,Disturbing the Peace,1,89,Offences
August,1857,Amt property restored to prisoners (in $),444.79,89,Station and Court-related
August,1857,Amt property stolen on station (in $),1830,89,Station and Court-related
August,1857,Stolen Property Recovered (in $),188.77,89,Station and Court-related
August,1857,No. of larcenies on station,40,89,Offences
August,1857,No. of arrests for larcenies on station,45,89,Offences
August,1857,On warrants,34,89,Offences
September,1857,Custody,639,94,Demographics
September,1857,Arrests (Males),379,94,Demographics
September,1857,Arrests (Females),122,94,Demographics
September,1857,Arrests (Americans),64,94,Demographics
September,1857,Arrests (Foreigners),437,94,Demographics
September,1857,Arrests (Residents),401,94,Demographics
September,1857,Arrests (Non-residents),36,94,Demographics
September,1857,Arrests (Minor),129,94,Demographics
September,1857,Arrests (Commitments),349,94,Demographics
September,1857,Lodging (Males),96,94,Demographics
September,1857,Lodging (Females),42,94,Demographics
September,1857,Lodging (Americans),30,94,Demographics
September,1857,Lodging (Foreigners),108,94,Demographics
September,1857,Lodging (Residents),50,94,Demographics
September,1857,Lodging (Non-residents),88,94,Demographics
September,1857,Lodging (Minor),30,94,Demographics
September,1857,Assaults and Battery,22,94,Offences
September,1857,Assault with deadly weapons,3,94,Offences
September,1857,Adultery,1,94,Offences
September,1857,Begging (beggars),1,94,Offences
September,1857,Breaking and Entering,4,94,Offences
September,1857,Burglary,2,94,Offences
September,1857,City Ordinance Violations,2,94,Offences
September,1857,Common Drunkenness (drunkards),21,94,Offences
September,1857,Drunkenness (Simple),178,94,Offences
September,1857,Disturbing the Peace,1,94,Offences
September,1857,Escaped Convicts,1,94,Offences
September,1857,Gaming on Sunday,18,94,Offences
September,1857,Keeping Houses of Ill Fame,1,94,Offences
September,1857,Highway robbery,1,94,Offences
September,1857,Idle & disorderly persons,4,94,Offences
September,1857,Idle & dissolute persons,1,94,Offences
September,1857,Insane,2,94,Offences
September,1857,Larceny (simple),37,94,Offences
September,1857,Larceny from persons etc,8,94,Offences
September,1857,Malicious mischief,7,94,Offences
September,1857,Common Night Walkers,26,94,Offences
September,1857,Noisy and disorderly persons,135,94,Offences
September,1857,Pickpockets,1,94,Offences
September,1857,Counterfeit money passing,2,94,Offences
September,1857,Robbery,2,94,Offences
September,1857,Sunday Law Violations,7,94,Offences
September,1857,Suspicious persons,3,94,Offences
September,1857,Stubborn & Truant Children,1,94,Offences
September,1857,Vagabonds,2,94,Offences
September,1857,Witnesses detained,7,94,Offences
September,1857,No. of larcenies on station,24,94,Offences
September,1857,No. of arrests for larcenies on station,23,94,Offences
September,1857,Amt property stolen on station (in $),470.44,94,Station and Court-related
September,1857,Stolen Property Recovered (in $),522.07,94,Station and Court-related
September,1857,Amt property restored to prisoners (in $),600.4,94,Station and Court-related
September,1857,Amt fines imposed on Prisoners (in $),912.6,94,Station and Court-related
September,1857,Years imprisonment imposed on convicts,"72,5/12",94,Station and Court-related
September,1857,Days time spent in court,215,94,Station and Court-related
September,1857,Amt Witness fees has earned in court (in $),399.43,94,Station and Court-related
September,1857,On warrants,19,94,Offences
September,1857,Lost children returned,5,94,Public Service
September,1857,Sidewalks repaired,13,94,Public Service
September,1857,Stores found open and secured ,28,94,Public Service
September,1857,Injured persons provided for,7,94,Public Service
September,1857,Stray Teams Put up,7,94,Public Service
September,1857,Water Pipes burst secured,2,94,Public Service
September,1857,Gas pipes broken secured,2,94,Public Service
September,1857,"Drains,vaults,nuisances reported",2,94,Public Service
September,1857,Disturbances Suppressed,82,94,Public Service
September,1857,Police court cases investigated ,53,94,Public Service
September,1857,Warrant recommended,21,94,Station and Court-related
October,1857,Custody,705,95,Demographics
October,1857,Arrests (Males),365,95,Demographics
October,1857,Arrests (Females),166,95,Demographics
October,1857,Arrests (Americans),64,95,Demographics
October,1857,Arrests (Foreigners),467,95,Demographics
October,1857,Arrests (Residents),408,95,Demographics
October,1857,Arrests (Non-residents),123,95,Demographics
October,1857,Arrests (Minor),68,95,Demographics
October,1857,Arrests (Commitments),342,95,Demographics
October,1857,Lodging (Males),138,95,Demographics
October,1857,Lodging (Females),36,95,Demographics
October,1857,Lodging (Americans),22,95,Demographics
October,1857,Lodging (Foreigners),152,95,Demographics
October,1857,Lodging (Residents),62,95,Demographics
October,1857,Lodging (Non-residents),112,95,Demographics
October,1857,Lodging (Minor),77,95,Demographics
October,1857,Assaults and Battery,27,95,Offences
October,1857,Assault with deadly weapons,3,95,Offences
October,1857,Breaking and Entering,1,95,Offences
October,1857,Burglary,2,95,Offences
October,1857,Common Drunkenness (drunkards),29,95,Offences
October,1857,City Ordinance Violations,5,95,Offences
October,1857,Drunkenness (Simple),171,95,Offences
October,1857,Keeping Houses of Ill Fame,8,95,Offences
October,1857,Highway robbery,1,95,Offences
October,1857,Idle & disorderly persons,6,95,Offences
October,1857,Insane,2,95,Offences
October,1857,Larceny (simple),28,95,Offences
October,1857,Larceny from persons etc,11,95,Offences
October,1857,Malicious mischief,5,95,Offences
October,1857,Murder,1,95,Offences
October,1857,Common Night Walkers,27,95,Offences
October,1857,Noisy and disorderly persons,161,95,Offences
October,1857,Keeping Noisy & Disorderly Houses,1,95,Offences
October,1857,Counterfeit money passing,1,95,Offences
October,1857,Robbery,5,95,Offences
October,1857,Suspicious persons,3,95,Offences
October,1857,Possessing sling shot,1,95,Offences
October,1857,Sunday Law Violations,4,95,Offences
October,1857,Stubborn & Truant Children,4,95,Offences
October,1857,Vagrancy,9,95,Offences
October,1857,Witnesses detained,15,95,Offences
October,1857,On warrants,27,95,Offences
October,1857,No. of larcenies on station,26,95,Offences
October,1857,No. of arrests for larcenies on station,23,95,Offences
October,1857,Amt property stolen on station (in $),273.5,95,Station and Court-related
October,1857,Stolen Property Recovered (in $),309.42,95,Station and Court-related
October,1857,Amt property restored to prisoners (in $),451.75,95,Station and Court-related
October,1857,Amt fines imposed on Prisoners (in $),874,95,Station and Court-related
October,1857,Years imprisonment imposed on convicts,"50,1/12",95,Station and Court-related
October,1857,Days time spent in court,183,95,Station and Court-related
October,1857,Amt Witness fees has earned in court (in $),342.72,95,Station and Court-related
November,1857,Custody,728,96,Demographics
November,1857,Arrests (Males),405,96,Demographics
November,1857,Arrests (Females),132,96,Demographics
November,1857,Arrests (Americans),71,96,Demographics
November,1857,Arrests (Foreigners),466,96,Demographics
November,1857,Arrests (Residents),428,96,Demographics
November,1857,Arrests (Non-residents),109,96,Demographics
November,1857,Arrests (Minor),100,96,Demographics
November,1857,Arrests (Commitments),330,96,Demographics
November,1857,Lodging (Males),149,96,Demographics
November,1857,Lodging (Females),42,96,Demographics
November,1857,Lodging (Americans),39,96,Demographics
November,1857,Lodging (Foreigners),152,96,Demographics
November,1857,Lodging (Residents),62,96,Demographics
November,1857,Lodging (Non-residents),129,96,Demographics
November,1857,Lodging (Minor),43,96,Demographics
November,1857,Assaults and Battery,31,96,Offences
November,1857,Assault with deadly weapons,4,96,Offences
November,1857,Common Drunkenness (drunkards),29,96,Offences
November,1857,City Ordinance Violations,3,96,Offences
November,1857,Keeping a Nuisance,2,96,Offences
November,1857,Counterfeit money passing,2,96,Offences
November,1857,Disturbing the Peace,5,96,Offences
November,1857,Drunkenness (Simple),168,96,Offences
November,1857,Defacing buildings,2,96,Offences
November,1857,Forgery ,1,96,Offences
November,1857,Insane,3,96,Offences
November,1857,Incendiaryism (incendiary),1,96,Offences
November,1857,Idle & disorderly persons,5,96,Offences
November,1857,Keeping Noisy & Disorderly Houses,2,96,Offences
November,1857,Keeping Houses of Ill Fame,2,96,Offences
November,1857,Larceny (simple),43,96,Offences
November,1857,Larceny from persons etc,20,96,Offences
November,1857,Malicious mischief,8,96,Offences
November,1857,Murder,3,96,Offences
November,1857,Common Night Walkers,9,96,Offences
November,1857,Noisy and disorderly persons,170,96,Offences
November,1857,Robbery,2,96,Offences
November,1857,Rape,1,96,Offences
November,1857,Suspicious persons,2,96,Offences
November,1857,Stubborn & Truant Children,3,96,Offences
November,1857,Vagabonds,3,96,Offences
November,1857,Witnesses detained,13,96,Offences
November,1857,On warrants,17,96,Offences
November,1857,No. of larcenies on station,33,96,Offences
November,1857,No. of arrests for larcenies on station,31,96,Offences
November,1857,Amt property stolen on station (in $),924.14,96,Station and Court-related
November,1857,Stolen Property Recovered (in $),430.04,96,Station and Court-related
November,1857,Amt property restored to prisoners (in $),1438.45,96,Station and Court-related
November,1857,Amt fines imposed on Prisoners (in $),758,96,Station and Court-related
November,1857,Years imprisonment imposed on convicts,17.5,96,Station and Court-related
November,1857,Days time spent in court,179,96,Station and Court-related
November,1857,Amt Witness fees has earned in court (in $),276.72,96,Station and Court-related
November,1857,Police court cases investigated ,28,96,Public Service
November,1857,Disturbances Suppressed,95,96,Public Service
November,1857,Street Obstructions Removed,8,96,Public Service
November,1857,Stores found open and secured ,23,96,Public Service
November,1857,Defective Street Lamps Repaired/Reported,2,96,Public Service
November,1857,Defective Street Lamps Repaired/Reported,4,96,Public Service
November,1857,Sidewalks repaired,8,96,Public Service
November,1857,"Drains,vaults,nuisances reported",2,96,Public Service
November,1857,Stray Teams Put up,2,96,Public Service
November,1857,Injured persons provided for,10,96,Public Service
November,1857,Number of fires on the station,3,96,Public Service
November,1857,Fires alarms given by officers,1,96,Public Service
November,1857,Fires extinguished by officers without alarms,2,96,Public Service
December,1857,Arrests (Males),364,97,Demographics
December,1857,Arrests (Females),176,97,Demographics
December,1857,Arrests (Americans),84,97,Demographics
December,1857,Arrests (Foreigners),446,97,Demographics
December,1857,Arrests (Residents),422,97,Demographics
December,1857,Arrests (Non-residents),108,97,Demographics
December,1857,Arrests (Minor),119,97,Demographics
December,1857,Arrests (Commitments),346,97,Demographics
December,1857,Lodging (Males),210,97,Demographics
December,1857,Lodging (Females),47,97,Demographics
December,1857,Lodging (Americans),51,97,Demographics
December,1857,Lodging (Foreigners),206,97,Demographics
December,1857,Lodging (Residents),81,97,Demographics
December,1857,Lodging (Non-residents),176,97,Demographics
December,1857,Lodging (Minor),62,97,Demographics
December,1857,Assaults and Battery,28,97,Offences
December,1857,Assault with deadly weapons,3,97,Offences
December,1857,Breaking and Entering,8,97,Offences
December,1857,Common Drunkenness (drunkards),27,97,Offences
December,1857,City Ordinance Violations,1,97,Offences
December,1857,Drunkenness (Simple),147,97,Offences
December,1857,Disturbing the Peace,4,97,Offences
December,1857,Forgery ,1,97,Offences
December,1857,Gaming on Sunday,8,97,Offences
December,1857,Idle & disorderly persons,10,97,Offences
December,1857,Insane,2,97,Offences
December,1857,Keeping a Nuisance,3,97,Offences
December,1857,Keeping Noisy & Disorderly Houses,4,97,Offences
December,1857,Keeping Houses of Ill Fame,2,97,Offences
December,1857,Larceny (simple),39,97,Offences
December,1857,Larceny from persons etc,17,97,Offences
December,1857,Malicious mischief,5,97,Offences
December,1857,Common Night Walkers,41,97,Offences
December,1857,Noisy and disorderly persons,150,97,Offences
December,1857,Counterfeit money passing,2,97,Offences
December,1857,Perjury,1,97,Offences
December,1857,Robbery,1,97,Offences
December,1857,Receiving stolen goods,1,97,Offences
December,1857,Sunday Law Violations,5,97,Offences
December,1857,Possessing sling shot,1,97,Offences
December,1857,Suspicious persons,2,97,Offences
December,1857,Threatening violence,2,97,Offences
December,1857,Vagabonds,6,97,Offences
December,1857,Witnesses detained,9,97,Offences
December,1857,On warrants,19,97,Offences
December,1857,No. of larcenies on station,35,97,Offences
December,1857,No. of arrests for larcenies on station,32,97,Offences
December,1857,Amt property stolen on station (in $),409.5,97,Station and Court-related
December,1857,Stolen Property Recovered (in $),588.05,97,Station and Court-related
December,1857,Amt property restored to prisoners (in $),469.75,97,Station and Court-related
December,1857,Amt fines imposed on Prisoners (in $),459,97,Station and Court-related
December,1857,Years imprisonment imposed on convicts,"29,3/4",97,Station and Court-related
December,1857,Days time spent in court,260,97,Station and Court-related
December,1857,Amt Witness fees has earned in court (in $),432.28,97,Station and Court-related
December,1857,Cases investigated for overseers of poor,339,97,Public Service
December,1857,Police court cases investigated ,32,97,Public Service
December,1857,Sidewalks repaired,6,97,Public Service
December,1857,Water Pipes burst secured,7,97,Public Service
December,1857,"Drains,vaults,nuisances reported",4,97,Public Service
December,1857,Lost children returned,3,97,Public Service
December,1857,Dangerous buildings reported/secured,2,97,Public Service
December,1857,Injured persons provided for,4,97,Public Service
December,1857,Stray Teams Put up,2,97,Public Service
December,1857,Stores found open and secured ,27,97,Public Service
December,1857,Disturbances Suppressed,124,97,Public Service
December,1857,Number of fires on the station,4,97,Public Service
December,1857,Fires alarms given by officers,0,97,Public Service
December,1857,Fires extinguished by officers without alarms,4,97,Public Service
January,1858,Custody,644,104,Demographics
January,1858,Arrests (Males),306,104,Demographics
January,1858,Arrests (Females),142,104,Demographics
January,1858,Arrests (Americans),59,104,Demographics
January,1858,Arrests (Foreigners),389,104,Demographics
January,1858,Arrests (Residents),369,104,Demographics
January,1858,Arrests (Non-residents),79,104,Demographics
January,1858,Arrests (Minor),111,104,Demographics
January,1858,Arrests (Commitments),258,104,Demographics
January,1858,Lodging (Males),147,104,Demographics
January,1858,Lodging (Females),49,104,Demographics
January,1858,Lodging (Americans),33,104,Demographics
January,1858,Lodging (Foreigners),163,104,Demographics
January,1858,Lodging (Residents),76,104,Demographics
January,1858,Lodging (Non-residents),120,104,Demographics
January,1858,Lodging (Minor),48,104,Demographics
January,1858,Assaults and Battery,27,104,Offences
January,1858,Attempt to kill,4,104,Offences
January,1858,Breaking and Entering,5,104,Offences
January,1858,City Ordinance Violations,3,104,Offences
January,1858,Common Drunkenness (drunkards),19,104,Offences
January,1858,Drunkenness (Simple),94,104,Offences
January,1858,Disturbing the Peace,7,104,Offences
January,1858,Escaped Convicts,1,104,Offences
January,1858,Embezzlement,1,104,Offences
January,1858,Idle & disorderly persons,4,104,Offences
January,1858,Insane,1,104,Offences
January,1858,Incendiaryism (incendiary),1,104,Offences
January,1858,Keeping Houses of Ill Fame,4,104,Offences
January,1858,Keeping Noisy & Disorderly Houses,2,104,Offences
January,1858,On warrants,31,104,Offences
January,1858,Larceny (simple),36,104,Offences
January,1858,Larceny from persons etc,14,104,Offences
January,1858,Malicious mischief,4,104,Offences
January,1858,Noisy and disorderly persons,164,104,Offences
January,1858,Common Night Walkers,27,104,Offences
January,1858,Perjury,3,104,Offences
January,1858,Pickpockets,1,104,Offences
January,1858,Counterfeit money passing,5,104,Offences
January,1858,Robbery,1,104,Offences
January,1858,Sunday Law Violations,9,104,Offences
January,1858,Stubborn & Truant Children,1,104,Offences
January,1858,Vagabonds,1,104,Offences
January,1858,Witnesses detained,8,104,Offences
January,1858,No. of larcenies on station,33,104,Offences
January,1858,No. of arrests for larcenies on station,31,104,Offences
January,1858,Amt property stolen on station (in $),325.75,104,Station and Court-related
January,1858,Stolen Property Recovered (in $),422.06,104,Station and Court-related
January,1858,Amt property restored to prisoners (in $),259.77,104,Station and Court-related
January,1858,Amt fines imposed on Prisoners (in $),818,104,Station and Court-related
January,1858,Years imprisonment imposed on convicts,"37,2/3",104,Station and Court-related
January,1858,Amt Witness fees has earned in court (in $),276.57,104,Station and Court-related
January,1858,Days time spent in court,174,104,Station and Court-related
January,1858,Cases investigated for overseers of poor,140,104,Public Service
January,1858,Disturbances Suppressed,123,104,Public Service
January,1858,Stores found open and secured ,34,104,Public Service
January,1858,Sidewalks repaired,7,104,Public Service
January,1858,Defective Street Lamps Repaired/Reported,4,104,Public Service
January,1858,"Drains,vaults,nuisances reported",2,104,Public Service
January,1858,Water Pipes burst secured,5,104,Public Service
January,1858,Lost children returned,4,104,Public Service
January,1858,Persons Rescued from Drowning,1,104,Public Service
January,1858,Number of fires on the station,4,104,Public Service
January,1858,Fires alarms given by officers,2,104,Public Service
January,1858,Fires extinguished by officers without alarms,1,104,Public Service
February,1858,Custody,602,105,Demographics
February,1858,Arrests (Males),266,105,Demographics
February,1858,Arrests (Females),119,105,Demographics
February,1858,Arrests (Americans),57,105,Demographics
February,1858,Arrests (Foreigners),328,105,Demographics
February,1858,Arrests (Residents),338,105,Demographics
February,1858,Arrests (Non-residents),47,105,Demographics
February,1858,Arrests (Minor),62,105,Demographics
February,1858,Arrests (Commitments),207,105,Demographics
February,1858,Lodging (Males),175,105,Demographics
February,1858,Lodging (Females),42,105,Demographics
February,1858,Lodging (Americans),41,105,Demographics
February,1858,Lodging (Foreigners),176,105,Demographics
February,1858,Lodging (Residents),69,105,Demographics
February,1858,Lodging (Non-residents),148,105,Demographics
February,1858,Lodging (Minor),31,105,Demographics
February,1858,On warrants,10,105,Offences
February,1858,Assaults and Battery,22,105,Offences
February,1858,Assault with deadly weapons,1,105,Offences
February,1858,Adultery,1,105,Offences
February,1858,Breaking and Entering,3,105,Offences
February,1858,Common Drunkenness (drunkards),18,105,Offences
February,1858,Drunkenness (Simple),102,105,Offences
February,1858,Escaped Convicts,1,105,Offences
February,1858,False Pretence,1,105,Offences
February,1858,Idle & disorderly persons,4,105,Offences
February,1858,Larceny (simple),24,105,Offences
February,1858,Larceny from persons etc,11,105,Offences
